date,side,pnl,pnl_pct,bars_held,equity_after
2023-01-17,SHORT,-103.44,-1.042,27,9896.56
2023-01-19,LONG,161.83,1.635,11,10058.39
2023-01-23,LONG,164.05,1.631,3,10222.44
2023-01-27,LONG,-105.82,-1.035,5,10116.62
2023-01-31,LONG,-104.56,-1.031,17,10012.06
2023-02-01,LONG,-103.53,-1.034,4,9908.53
2023-02-08,SHORT,-102.51,-1.026,42,9806.02
2023-02-14,SHORT,-101.72,-1.039,31,9704.3
2023-02-21,LONG,-100.33,-1.027,19,9603.97
2023-03-01,LONG,156.51,1.617,15,9760.48
2023-03-06,LONG,-101.05,-1.037,12,9659.43
2023-03-09,LONG,-99.78,-1.033,1,9559.65
2023-03-16,LONG,-98.91,-1.035,14,9460.74
2023-03-22,LONG,-98.22,-1.038,2,9362.52
2023-03-24,LONG,152.69,1.631,7,9515.21
2023-03-27,LONG,-98.41,-1.038,5,9416.8
2023-03-31,LONG,-97.2,-1.032,2,9319.6
2023-04-03,SHORT,151.74,1.628,10,9471.35
2023-04-05,SHORT,-97.92,-1.028,29,9373.42
2023-04-07,SHORT,-96.8,-1.034,21,9276.62
2023-04-11,SHORT,151.54,1.616,21,9428.16
2023-04-17,SHORT,-97.5,-1.034,3,9330.65
2023-04-18,SHORT,-96.27,-1.034,6,9234.38
2023-04-19,SHORT,-95.25,-1.031,15,9139.13
2023-04-24,SHORT,149.27,1.636,18,9288.4
2023-04-25,SHORT,151.91,1.631,17,9440.31
2023-04-25,SHORT,154.24,1.656,11,9594.55
2023-05-08,LONG,-99.3,-1.035,5,9495.25
2023-05-10,LONG,-98.37,-1.036,10,9396.89
2023-05-18,LONG,153.32,1.632,24,9550.2
2023-05-29,LONG,155.66,1.617,10,9705.86
2023-05-30,LONG,-100.45,-1.031,25,9605.41
2023-06-01,LONG,156.76,1.61,13,9762.17
2023-06-02,LONG,-101.05,-1.032,22,9661.12
2023-06-05,LONG,-99.53,-1.03,1,9561.59
2023-06-12,LONG,-99.11,-1.037,1,9462.48
2023-06-16,LONG,154.75,1.624,18,9617.24
2023-06-21,LONG,-99.0,-1.026,19,9518.23
2023-06-26,LONG,155.51,1.613,11,9673.75
2023-06-26,LONG,-99.83,-1.035,3,9573.92
2023-06-28,LONG,-99.27,-1.037,6,9474.64
2023-07-03,LONG,154.83,1.617,16,9629.47
2023-07-05,LONG,-99.48,-1.036,20,9529.99
2023-07-07,LONG,-98.45,-1.033,8,9431.54
2023-07-13,LONG,154.1,1.634,2,9585.64
2023-07-19,SHORT,156.52,1.616,13,9742.16
2023-07-19,SHORT,-100.82,-1.041,10,9641.34
2023-07-25,LONG,157.61,1.617,13,9798.94
2023-07-31,LONG,160.23,1.629,15,9959.17
2023-08-01,LONG,-103.03,-1.035,4,9856.14
2023-08-03,LONG,-102.12,-1.025,21,9754.03
